q,a
"Это оранжевый гигант спектрального класса К с видимым блеском +3.78, удалён от Земли на 96,8 световых лет.","Это оранжевый гигант спектрального класса К с видимым блеском тремя целых семьюдесятью восемью сотых, удалён от Земли на девяноста шести целых восьми десятых световых лет."
"Занимает площадь 21,27 км².",Занимает площадь двадцати одной целой двадцати семи сотых км².
"Темп прироста населения составляет 3,65 %, это самый низкий показатель из всех регионов Турции.","Темп прироста населения составляет три целых шестьдесят пять сотых %, это самый низкий показатель из всех регионов Турции."
"Скорость снижения температуры не превышала 0,03 град/час.",Скорость снижения температуры не превышала ноля целых трёх сотых град/час.
"Устье реки находится в 0,4 км по правому берегу реки Лёк-Кем.",Устье реки находится в ноль целых четыре десятых км по правому берегу реки Лёк-Кем.
"Площадь — 53,5 км².",Площадь — пятьдесят три целых пять десятых км².
"Длина: 50,3 м",Длина: пятьдесят целых три десятых м
"Ширина 5,2 м",Ширина пяти целых двух десятых м
"Осадка 2,7 м",Осадка двух целых семи десятых м
"Скорость: 13,5 уз.",Скорость: тринадцать целых пять десятых уз.
"ниже по течению на расстоянии в 3,5 км расположен пгт Камышеваха,","ниже по течению на расстоянии в три целых пять десятых км расположен пгт Камышеваха,"
"Занимает площадь 60,17 км².",Занимает площадь шестидесяти целых семнадцати сотых км².
"Комплекс управляемого вооружения позволяет поражать цели на расстоянии до 5,0 км.",Комплекс управляемого вооружения позволяет поражать цели на расстоянии до пяти целых ноля десятых км.
"На дальностях свыше 2,5—3,0 км ПТУР имеет преимущества перед БОПС по точности попадания и бронепробиваемости.",На дальностях свыше двух целых пяти десятых—трёх целых ноля десятых км ПТУР имеет преимущества перед БОПС по точности попадания и бронепробиваемости.
"Если же сравнивать мужчин и женщин, работающих на одном должностном уровне, то гендерный разрыв равен 6,5 % в пользу мужчин; если брать одинаковой должностной уровень в одной компании, то 2.2 % в пользу мужчин, а с учётом одинаковых обязанностей 1,6 % в пользу мужчин.","Если же сравнивать мужчин и женщин, работающих на одном должностном уровне, то гендерный разрыв равен шесть целых пять десятых % в пользу мужчин; если брать одинаковой должностной уровень в одной компании, то две целых две десятых % в пользу мужчин, а с учётом одинаковых обязанностей одна целая шесть десятых % в пользу мужчин."
"Невыгодное положение женщин может быть причиной относительно высокой доли мужчин на руководящих должностях в этой отрасли (27,5% всех руководящих должностей занято мужчинами, которые составляют лишь 10,1% всех работников в этой области).","Невыгодное положение женщин может быть причиной относительно высокой доли мужчин на руководящих должностях в этой отрасли (двадцать семь целых пять десятых% всех руководящих должностей занято мужчинами, которые составляют лишь десять целых одна десятая% всех работников в этой области)."
"выше по течению на расстоянии в 0,5 км расположено село Слободо-Петровка,","выше по течению на расстоянии в ноль целых пять десятых км расположено село Слободо-Петровка,"
"Занимает площадь 793,17 км².",Занимает площадь семисот девяноста трёх целых семнадцати сотых км².
"Вирусы и программы-шутки могут быть написаны в виде пакетного файла, известны также генераторы вирусов, являющиеся пакетными файлами (Virra 1.0, BADtch R.A.T. 0.4, и другие).","Вирусы и программы-шутки могут быть написаны в виде пакетного файла, известны также генераторы вирусов, являющиеся пакетными файлами (Virra одна целая ноль десятых, BADtch R.A.T. ноль целых четыре десятых, и другие)."
"Площадь бассейна — 77,3 км².",Площадь бассейна — семьдесят семь целых три десятых км².
"Уклон реки — 2,5 м/км.",Уклон реки — две целых пять десятых м/км.
"Расстояние от устья Хотомли к месту впадения Хотомельки — 6,3 км.",Расстояние от устья Хотомли к месту впадения Хотомельки — шесть целых три десятых км.
"Село Першотравневое находится в 1,5 км от правого берега реки Бобрик.",Село Першотравневое находится в одну целую пять десятых км от правого берега реки Бобрик.
"На расстоянии в 1,5 км расположены сёла Супруновка, Беликовка, Садовое и посёлок Лидино.","На расстоянии в одну целую пять десятых км расположены сёла Супруновка, Беликовка, Садовое и посёлок Лидино."
"Средний многолетний годовой сток 56,1 млн м³.",Средний многолетний годовой сток пятьдесят шесть целых одна десятая млн м³.
"Водные ресурсы используются для орошения, годовое водопотребление 0,91 млн м³ (1,6 % год. стока).","Водные ресурсы используются для орошения, годовое водопотребление ноль целых девяносто одна сотая млн м³ (одна целая шесть десятых % год. стока)."
"Показатель преломления современных флинтов может превосходить значение 1,9.",Показатель преломления современных флинтов может превосходить значение одну целую девять десятых.
"Занимает площадь 14,89 км².",Занимает площадь четырнадцати целых восьмидесяти девяти сотых км².
"Начал изучать классический танец в возрасте 4,5 лет в студии при Кишинёвском Дворце пионеров.",Начал изучать классический танец в возрасте четырёх целых пяти десятых лет в студии при Кишинёвском Дворце пионеров.
"Наклонение 98,2 градуса.",Наклонение девяноста восьми целых двух десятых градуса.
"{\displaystyle \{0,1,2,3,4\dots \}}","{\displaystyle \{0,1,2,3,4\dots \}}"
"{\displaystyle \{1,2,3,4\dots \}}","{\displaystyle \{1,2,3,4\dots \}}"
"{\displaystyle \{0,0\}}","{\displaystyle \{0,0\}}"
"Побывав в Одессе, Москве, Санкт-Петербурге, спустя три года он вернулся назад с договором на 1,3 миллиона рублей, который заключил с британской фирмой «Келлис Директориес ЛТД».","Побывав в Одессе, Москве, Санкт-Петербурге, спустя три года он вернулся назад с договором на одна целая три десятых миллиона рублей, который заключил с британской фирмой «Келлис Директориес ЛТД»."
"Длина тела от 1,8 до 6,0 мм.",Длина тела от одна целая восемь десятых до шести целых ноля десятых мм.
"1,2 километра к востоку от деревни.",одна целая две десятых километра к востоку от деревни.
"Около 1,5 км к северо-востоку от деревни.",Около одна целая пять десятых км к северо-востоку от деревни.
Oxford University Press.,Oxford University Press.
"На фоне остальной страны, преимущественно мусульманской и почти стопроцентно негроидной, столица выделяется относительным христианским большинством (40,2 %, при 34,2 % мусульман и 7,9 % анимистов), а также заметной прослойкой мулатов.","На фоне остальной страны, преимущественно мусульманской и почти стопроцентно негроидной, столица выделяется относительным христианским большинством (сорок целых две десятых %, при тридцать четыре целых две десятых % мусульман и семь целых девять десятых % анимистов), а также заметной прослойкой мулатов."
"В племенном отношении 20,5 % горожан относится к баланте, 18,0 % — к фульбе, 15,7 % — к папеу (на землях которых и был основан город).","В племенном отношении двадцать целых пять десятых % горожан относится к баланте, восемнадцать целых ноль десятых % — к фульбе, пятнадцать целых семь десятых % — к папеу (на землях которых и был основан город)."
"Занимает площадь 11,55 км².",Занимает площадь одиннадцати целых пятидесяти пяти сотых км².
"Среднегодовая многолетняя температура воздуха составляет +3,6 — +4,2 °С.",Среднегодовая многолетняя температура воздуха составляет три целых шесть десятых — четыре целых две десятых °С.
"Город имеет общую площадь в 37,53 кв. км, из которых 37,09 км² составляет и 0,44 км² — открытые водные пространства.","Город имеет общую площадь в тридцать семь целых пятьдесят три сотых кв. км, из которых тридцать семь целых девять сотых км² составляет и ноль целых сорок четыре сотых км² — открытые водные пространства."
"Плотность населения составляла 468,4 чел./кв. км.",Плотность населения составляла четыреста шестьдесят восемь целых четыре десятых чел./кв. км.
"Расовый состав города: белые —85,0 %, афроамериканцы — 1,7 %, коренные американцы — 1,2 %, азиаты — 4,8 %, уроженцы Гавайев и тихоокеанских островов — 0,5 %, представители прочих рас — 1,6 %, представители двух и более рас — 5,2 %.","Расовый состав города: белые —восемьдесят пять целых ноль десятых %, афроамериканцы — одна целая семь десятых %, коренные американцы — одна целая две десятых %, азиаты — четыре целых восемь десятых %, уроженцы Гавайев и тихоокеанских островов — ноль целых пять десятых %, представители прочих рас — одна целая шесть десятых %, представители двух и более рас — пять целых две десятых %."
"Латиноамериканцы (любой расы) составляли 6,2 % населения.",Латиноамериканцы (любой расы) составляли шесть целых две десятых % населения.
"Средний возраст городского населения составлял 37,4 года.",Средний возраст городского населения составлял тридцать семь целых четыре десятых года.
"Гендерный состав города: 47,7 % мужчин и 52,3 % женщин.",Гендерный состав города: сорок семь целых семь десятых % мужчин и пятьдесят две целых три десятых % женщин.
