q,a
"Расовый состав: белые — 95,9 %, афроамериканцы — 0,6 %, азиаты — 0,8 %, коренные американцы — 0,4 %.","Расовый состав: белые — девяносто пять целых девять десятых %, афроамериканцы — ноль целых шесть десятых %, азиаты — ноль целых восемь десятых %, коренные американцы — ноль целых четыре десятых %."
"Средний возраст населения — 31,5 год.",Средний возраст населения — тридцать одна целая пять десятых год.
"6,5 % — женщины, проживающие без мужей и 13,8 % — мужчины, проживающие без жён.","шесть целых пять десятых % — женщины, проживающие без мужей и тринадцать целых восемь десятых % — мужчины, проживающие без жён."
"24,1 % не имели семьи.",двадцать четыре целых одна десятая % не имели семьи.
"В среднем домашнее хозяйство ведут 2,86 человека, а средний размер семьи — 3,22 человека.","В среднем домашнее хозяйство ведут две целых восемьдесят шесть сотых человека, а средний размер семьи — три целых двадцать две сотых человека."
Медаль «За укрепление дружбы по оружию»,Медаль «За укрепление дружбы по оружию»
В сафаре (22.10-19.11) того же года выступили ибадиты под руководством Абдалдаббара б.,В сафаре (двадцать две целых десять сотых-девятнадцать целых одиннадцать сотых) того же года выступили ибадиты под руководством Абдалдаббара б.
"Количество избирателей: 7,79 млн.",Количество избирателей: семь целых семьдесят девять сотых млн.
"За официальных и правительственных кандидатов: 4,44 млн. голосов.",За официальных и правительственных кандидатов: четыре целых сорок четыре сотых млн. голосов.
"За кандидатов оппозиции: 3,35 млн. голосов.",За кандидатов оппозиции: три целых тридцать пять сотых млн. голосов.
"Например, в Париже оппозиция получила 234.000 голосов, тогда как государственные кандидаты — лишь 77.000 голосов.","Например, в Париже оппозиция получила двухсот тридцати четырёх целых ноля тысячных голосов, тогда как государственные кандидаты — лишь семьдесят семь целых ноль тысячных голосов."
"Длина: 8,16 м",Длина: восемь целых шестнадцать сотых м
"Размах крыла: 11,49 м",Размах крыла: одиннадцать целых сорок девять сотых м
"Высота: 2,55 м",Высота: две целых пятьдесят пять сотых м
"Площадь крыла: 21,86 м²",Площадь крыла: двадцать одна целая восемьдесят шесть сотых м²
"Тяговооружённость: 0,153 Вт/кг",Тяговооружённость: ноль целых сто пятьдесят три тысячных Вт/кг
Ф.,Ф.
"комбриг Кислицын, Дмитрий Иванович (02.1939—11.1940)","комбриг Кислицын, Дмитрий Иванович (две целых одна тысяча девятьсот тридцать девять десятитысячных—одиннадцать целых одна тысяча девятьсот сорок десятитысячных)"
"Военная медицина под его руководством добилась существенных результатов: смертность раненых была одной из самых низких в мире (выживало 98,4% от всех раненых военных и гражданских лиц, которых доставляли в больницы) благодаря тому, что врачи работали непосредственно на линии фронта и быстро оказывали помощь раненым, а тяжелораненых успевали транспортировать с фронта в больницы менее, чем за час.","Военная медицина под его руководством добилась существенных результатов: смертность раненых была одной из самых низких в мире (выживало девяносто восемь целых четыре десятых% от всех раненых военных и гражданских лиц, которых доставляли в больницы) благодаря тому, что врачи работали непосредственно на линии фронта и быстро оказывали помощь раненым, а тяжелораненых успевали транспортировать с фронта в больницы менее, чем за час."
"Он соревновался в первом туре с одиннадцатью другими кандидатами и занял третье место с 12,04 % голосов.",Он соревновался в первом туре с одиннадцатью другими кандидатами и занял третье место с двенадцать целых четыре сотых % голосов.
"Устье реки находится в 9,1 км по правому берегу реки Калужка.",Устье реки находится в девять целых одну десятую км по правому берегу реки Калужка.
"По данным Бюро переписи населения США Фаук имеет общую площадь в 2,59 квадратных километров, водных ресурсов в черте населённого пункта не имеется.","По данным Бюро переписи населения США Фаук имеет общую площадь в две целых пятьдесят девять сотых квадратных километров, водных ресурсов в черте населённого пункта не имеется."
"Средняя плотность населения составляла около 301,5 человек на один квадратный километр.",Средняя плотность населения составляла около трёхсот одной целой пяти десятых человек на один квадратный километр.
"Расовый состав Фаука по данным переписи распределился следующим образом: 95,45 % белых, 0,25 % — чёрных или афроамериканцев, 2,46 % — коренных американцев, 1,23 % — представителей смешанных рас, 0,61 % — других народностей.","Расовый состав Фаука по данным переписи распределился следующим образом: девяносто пять целых сорок пять сотых % белых, ноль целых двадцать пять сотых % — чёрных или афроамериканцев, две целых сорок шесть сотых % — коренных американцев, одна целая двадцать три сотых % — представителей смешанных рас, ноль целых шестьдесят одна сотая % — других народностей."
"Испаноговорящие составили 1,72 % от всех жителей города.",Испаноговорящие составили одна целая семьдесят две сотых % от всех жителей города.
"Средний размер домашнего хозяйства составил 2,80 человек, а средний размер семьи — 3,26 человек.","Средний размер домашнего хозяйства составил двух целых восьмидесяти сотых человек, а средний размер семьи — три целых двадцать шесть сотых человек."
"В летнее трансферное окно благодаря удачному переходу Коларова в «Манчестер Сити» состав был усилен полузащитниками Альваро Гонсалесом и Эрнанесом, который стал вторым из самых дорогих приобретений Клаудио Лотито после Мауро Сарате (20,2 и 13,5 млн евро соответственно).","В летнее трансферное окно благодаря удачному переходу Коларова в «Манчестер Сити» состав был усилен полузащитниками Альваро Гонсалесом и Эрнанесом, который стал вторым из самых дорогих приобретений Клаудио Лотито после Мауро Сарате (двадцать целых две десятых и тринадцать целых пять десятых млн евро соответственно)."
"В настоящее время акции «Лацио» распределены между Клаудио Лотито, который владеет 66,692 %, и другими акционерами, владеющими оставшимися 33,308 %.","В настоящее время акции «Лацио» распределены между Клаудио Лотито, который владеет шестьдесят шесть целых шестьсот девяносто две тысячных %, и другими акционерами, владеющими оставшимися тридцать три целых триста восемь тысячных %."
"Население — около 1,7 тыс. человек.",Население — около одна целая семь десятых тыс. человек.
"Занимает площадь 22,49 км².",Занимает площадь двадцати двух целых сорока девяти сотых км².
"Это произошло в олимпийском парке города Парк-Сити, и скорость составляла 139,4 км/ч.","Это произошло в олимпийском парке города Парк-Сити, и скорость составляла сто тридцати девяти целых четырёх десятых км/ч."
"Records переиздал 39/Smooth под названием 1,039/Smoothed Out Slappy Hours, который включал в себя песни из двух EP группы, Slappy и 1,000 Hours.","Records переиздал 39/Smooth под названием одной целой тридцатью девятью тысячных/Smoothed Out Slappy Hours, который включал в себя песни из двух EP группы, Slappy и одна целая ноль тысячных Hours."
"Занимает площадь 113,94 км².",Занимает площадь сто тринадцати целых девяноста четырёх сотых км².
"Среднегодовая температура воздуха — 3,3 °C.",Среднегодовая температура воздуха — три целых три десятых °C.
"Площадь района — 769,92 км².",Площадь района — семьсот шестьдесят девять целых девяносто две сотых км².
"УрбанизацияГородское население (город Княгинино) составляет 58,76 % от всего населения района.",УрбанизацияГородское население (город Княгинино) составляет пятьдесят восемь целых семьдесят шесть сотых % от всего населения района.
"Для реализации она разливается в бутыли ёмкостью 19,5 литров.",Для реализации она разливается в бутыли ёмкостью девятнадцати целых пяти десятых литров.
"Плотность населения — 34,9 чел./км².",Плотность населения — тридцать четыре целых девять десятых чел./км².
Пример.,Пример.
"К следующем сезону он восстановился и успешно проявил себя в составе «Бруклин Сайклонс», в двенадцати играх одержав шесть побед с пропускаемостью ERA 2,26.","К следующем сезону он восстановился и успешно проявил себя в составе «Бруклин Сайклонс», в двенадцати играх одержав шесть побед с пропускаемостью ERA двумя целых двадцатью шестью сотых."
"Год Освальт провёл удачно, отыграв рекордные для себя 134,1 иннинга и одержав двенадцать побед при пяти поражениях.","Год Освальт провёл удачно, отыграв рекордные для себя сто тридцать четыре целых одна десятая иннинга и одержав двенадцать побед при пяти поражениях."
"Он успешно отыграл 4,2 иннинга в матче против «Сент-Луис Кардиналс», но затем был переведён в AAA-лигу.","Он успешно отыграл четыре целых две десятых иннинга в матче против «Сент-Луис Кардиналс», но затем был переведён в AAA-лигу."
"Всего в регулярном чемпионате он провёл на поле 64,2 иннинга, в которых его пропускаемость ERA составила 5,85.","Всего в регулярном чемпионате он провёл на поле шестьдесят четыре целых две десятых иннинга, в которых его пропускаемость ERA составила пять целых восемьдесят пять сотых."
"Село Водяное находится в 3,5 км от правого берега реки Волчья,","Село Водяное находится в три целых пять десятых км от правого берега реки Волчья,"
"Село Скотоватое находится на расстоянии в 1,5 км от села Марьяновка.",Село Скотоватое находится на расстоянии в одну целую пять десятых км от села Марьяновка.
"Расовый состав: белые — 69,7 %, афроамериканцы — 6,3 %, коренные американцы — 1,2 % и представители двух и более рас — 4,1 %.","Расовый состав: белые — шестьдесят девять целых семь десятых %, афроамериканцы — шесть целых три десятых %, коренные американцы — одна целая две десятых % и представители двух и более рас — четыре целых одна десятая %."
"39,5 % населения были латиноамериканцами.",тридцать девять целых пять десятых % населения были латиноамериканцами.
"Средний возраст населения — 31,5 лет.",Средний возраст населения — тридцать одна целая пять десятых лет.
"14,2 % — женщины, проживающие без мужей и 5,3 % — мужчины, проживающие без жён.","четырнадцать целых две десятых % — женщины, проживающие без мужей и пять целых три десятых % — мужчины, проживающие без жён."
"31,5 % не имели семьи.",тридцать одна целая пять десятых % не имели семьи.
"В среднем домашнее хозяйство ведут 2,63 человека, а средний размер семьи — 3,18 человека.","В среднем домашнее хозяйство ведут две целых шестьдесят три сотых человека, а средний размер семьи — три целых восемнадцать сотых человека."
"18,1 % от всего числа семей в Карри и 21,6 % от всей численности населения находилось на момент переписи за чертой бедности.",восемнадцать целых одна десятая % от всего числа семей в Карри и двадцать одна целая шесть десятых % от всей численности населения находилось на момент переписи за чертой бедности.
"Бэккс был назначен рыцарем ордена Нидерландского Льва, среди прочего, за его роль в реформировании кафедры электротехники в Технологическом университете Эйндховена и в основании Института фотонной интеграции и PhotonDelta.","Бэккс был назначен рыцарем ордена Нидерландского Льва, среди прочего, за его роль в реформировании кафедры электротехники в Технологическом университете Эйндховена и в основании Института фотонной интеграции и PhotonDelta."
"Основанная на сверхчувствительном фотонном биосенсоре, диагностическая платформа SurfiX Diagnostics предоставляет широкий спектр тестов на месте оказания медицинской помощи.","Основанная на сверхчувствительном фотонном биосенсоре, диагностическая платформа SurfiX Diagnostics предоставляет широкий спектр тестов на месте оказания медицинской помощи."
"Самые низкие потери при распространении, о которых сообщалось в SiN (от 0,1 дБ/см до 0,1 дБ/м), были достигнуты с помощью триплексных волноводов LioniX International.","Самые низкие потери при распространении, о которых сообщалось в SiN (от ноля целых одной десятой дБ/см до ноля целых одной десятой дБ/м), были достигнуты с помощью триплексных волноводов LioniX International."
Материалы Конференции по оптоволоконной связи (OFC): OMK7.,Материалы Конференции по оптоволоконной связи (OFC): OMK7.
"""Двунаправленное разделение мод и повторное объединение для преобразования мод в плоских волноводах"" (https://doi.org/10.1109%2FACCESS.2018.2873278 ).","""Двунаправленное разделение мод и повторное объединение для преобразования мод в плоских волноводах"" (https://doi.org/10.1109%2FACCESS.2018.2873278 )."
Код нагрудника:2022NatCo.,Код нагрудника:2022NatCo.
Bibcode:1988ApOpt..27.1687B (https://ui.adsabs.harvard.edu/+abs/1988ApOpt..27.1687B).,Bibcode:1988ApOpt..27.1687B (https://ui.adsabs.harvard.edu/+abs/1988ApOpt..27.1687B).
"Площадь сада составляет 5,7 га.",Площадь сада составляет пяти целых семи десятых га.
"Мероприятия, на которые было выделено 131,72 млн рублей, включали в себя ремонт ограды, мостов и дорожек, укрепление берегов водоемов, посадку деревьев и кустов.","Мероприятия, на которые было выделено сто тридцать одна целая семьдесят две сотых млн рублей, включали в себя ремонт ограды, мостов и дорожек, укрепление берегов водоемов, посадку деревьев и кустов."
"Внедрение централизованных перевозок решило вопрос обеспечения АЗС нефтепродуктами минимальным количеством транспорта, производительность труда увеличилось на 14,7 %.","Внедрение централизованных перевозок решило вопрос обеспечения АЗС нефтепродуктами минимальным количеством транспорта, производительность труда увеличилось на четырнадцать целых семь десятых %."
"На 3,3 тысячи тонн больше запланированного перевезла нефтепродуктов, сэкономила значительное количество топлива.","На три целых три десятых тысячи тонн больше запланированного перевезла нефтепродуктов, сэкономила значительное количество топлива."
"Уровень грамотности 85,24 %, в том числе среди мужчин 89,2 % и среди женщин — 80,1 %.","Уровень грамотности восемьдесят пять целых двадцать четыре сотых %, в том числе среди мужчин восемьдесят девять целых две десятых % и среди женщин — восемьдесят целых одна десятая %."
"В настоящее время российский сегмент международной космической станции может напрямую взаимодействовать с ЦУПами в течение около 2,5 часов в сутки.",В настоящее время российский сегмент международной космической станции может напрямую взаимодействовать с ЦУПами в течение около двух целых пяти десятых часов в сутки.
"По данным Бюро переписи населения США площадь тауншипа составляет 93,0 км², из которых 92,2 км² занимает суша, а 0,8 км² — вода (0,89 %).","По данным Бюро переписи населения США площадь тауншипа составляет девяноста трёх целых ноля десятых км², из которых девяноста двух целых двух десятых км² занимает суша, а ноль целых восемь десятых км² — вода (ноль целых восемь десятых9 %)."
"Плотность населения —  7,5 чел./км².",Плотность населения —  семь целых пять десятых чел./км².
"Расовый состав населения: 98,12 % белых, 0,29 % азиатов, 0,58 % — других рас США и 1,01 % приходится на две или более других рас.","Расовый состав населения: девяносто восемь целых двенадцать сотых % белых, ноль целых двадцать девять сотых % азиатов, ноль целых пятьдесят восемь сотых % — других рас США и одна целая одна сотая % приходится на две или более других рас."
"Испанцы или латиноамериканцы любой расы составляли 1,59 % от популяции тауншипа.",Испанцы или латиноамериканцы любой расы составляли одна целая пятьдесят девять сотых % от популяции тауншипа.
"Средний размер домохозяйства — 3,04, а семьи — 3,37 человека.","Средний размер домохозяйства — три целых четыре сотых, а семьи — три целых тридцать семь сотых человека."
"электрификация: 97,2 %;",электрификация: девяносто семь целых две десятых %;
"водоснабжение: 98,6 %;",водоснабжение: девяносто восемь целых шесть десятых %;
"водоотведение: 83,7 %.",водоотведение: восемьдесят три целых семь десятых %.
"Занимает площадь 16,85 км².",Занимает площадь шестнадцати целых восьмидесяти пяти сотых км².
"Средняя температура воздуха самого холодного месяца (января) — −11,3 °C; самого тёплого месяца (июля) — 20,4 °C.",Средняя температура воздуха самого холодного месяца (января) — −одиннадцать целых три десятых °C; самого тёплого месяца (июля) — двадцать целых четыре десятых °C.
"Среднегодовая температура воздуха — 2,1 °C.",Среднегодовая температура воздуха — две целых одна десятая °C.
"Среднегодовая температура воздуха — 2,5 °C.",Среднегодовая температура воздуха — две целых пять десятых °C.
"Среднегодовая температура положительная и составляет +1,2 °С, средняя температура самого холодного месяца января −17,6 °C, самого жаркого месяца июля +19,4 °С.","Среднегодовая температура положительная и составляет одна целая две десятых °С, средняя температура самого холодного месяца января −семнадцать целых шесть десятых °C, самого жаркого месяца июля девятнадцать целых четыре десятых °С."
"Занимает площадь 8,67 км².",Занимает площадь восьми целых шестидесяти семи сотых км².
"Новая модель БА-10М получила бензобаки новой конструкции ёмкостью 54,5 литра каждый, установленные снаружи корпуса на крыльях задних колес в бронированных кожухах, в отличие от прежних, которые крепились к крыше корпуса за местами водителя и пулемётчика.","Новая модель БА-10М получила бензобаки новой конструкции ёмкостью пятидесяти четырёх целых пяти десятых литра каждый, установленные снаружи корпуса на крыльях задних колес в бронированных кожухах, в отличие от прежних, которые крепились к крыше корпуса за местами водителя и пулемётчика."
"При этом масса машины возросла до 5,5 тонн, но динамические качества практически не изменились.","При этом масса машины возросла до пяти целых пяти десятых тонн, но динамические качества практически не изменились."
"Занимает площадь 21,17 км².",Занимает площадь двадцати одной целой семнадцати сотых км².
"Занимает площадь 201,471 км².",Занимает площадь двухсот одной целой четырёхсот семидесяти одной тысячной км².
"Плотность населения — 77,2 чел./км².",Плотность населения — семьдесят семь целых две десятых чел./км².
"Площадь 457,248 квадратного километра.",Площадь четырёхсот пятидесяти семи целых двухсот сорока восьми тысячных квадратного километра.
"Плотность 94,4 человека на квадратный километр.",Плотность девяноста четырёх целых четырёх десятых человека на квадратный километр.
"В низовьях скорость течения воды равна 0,1 м/с.",В низовьях скорость течения воды равна ноль целых одна десятая м/с.
"Сюжет второй демоверсии частично основан на главе «Коммуникационный центр» из раннего билда Half-Life (v0.52), события которой примерно соответствуют релизной главе «Ядро Лямбды».","Сюжет второй демоверсии частично основан на главе «Коммуникационный центр» из раннего билда Half-Life (v0.52), события которой примерно соответствуют релизной главе «Ядро Лямбды»."
"При этом  результаты российских юниорок (сумма баллов в команде) превысила результаты взрослых соотечественниц на 4,200 балла.",При этом  результаты российских юниорок (сумма баллов в команде) превысила результаты взрослых соотечественниц на четыре целых двести тысячных балла.
"Анна, Татьяна Набиева, Алия Мустафина, Рамиля Мусина и Ксения Афанасьева обыграли ближайших соперниц — гимнасток Японии — на четыре балла (173,850 и 169,850 соответственно).","Анна, Татьяна Набиева, Алия Мустафина, Рамиля Мусина и Ксения Афанасьева обыграли ближайших соперниц — гимнасток Японии — на четыре балла (сто семьдесят три целых восемьсот пятьдесят тысячных и сто шестьдесят девять целых восемьсот пятьдесят тысячных соответственно)."
"Высота истока — 1645,2 м над уровнем моря (высота уреза воды озера Хубсугул).",Высота истока — одна тысяча шестьсот сорок пять целых две десятых м над уровнем моря (высота уреза воды озера Хубсугул).
"Среднегодовая температура — 1,6 °C.",Среднегодовая температура — одна целая шесть десятых °C.
"Занимает площадь 150,12 км².",Занимает площадь сто пятидесяти целых двенадцати сотых км².
"Занимает площадь 0,442 км².",Занимает площадь ноля целых четырёхсот сорока двух тысячных км².
"69,47 Радио России/ГТРК Алтай",шестьдесят девять целых сорок семь сотых Радио России/ГТРК Алтай
"104,8 Радио России/ГТРК Алтай",сто четыре целых восемь десятых Радио России/ГТРК Алтай
"По оценке редакции «Рейтинга Букмекеров», КХЛ будет получать от спонсора 1,3-1,5 млрд рублей за сезон.","По оценке редакции «Рейтинга Букмекеров», КХЛ будет получать от спонсора одна целая три десятых-одна целая пять десятых млрд рублей за сезон."
"21,176",двадцать одна целая сто семьдесят шесть тысячных
"0,367",ноль целых триста шестьдесят семь тысячных
"При этом построении получается относительная ошибка в 0,83%.",При этом построении получается относительная ошибка в ноль целых восемьдесят три сотых%.
"Единственной лояльной царю силой оказались полицейские, которых в Петрограде насчитывалось всего около 3,5 тыс.","Единственной лояльной царю силой оказались полицейские, которых в Петрограде насчитывалось всего около трёх целых пяти десятых тыс."
"В следующем году она завоевала бронзовую медаль на дистанции 7,5 км классическим стилем на Европейском зимнем молодежном олимпийском фестивале.",В следующем году она завоевала бронзовую медаль на дистанции семи целых пяти десятых км классическим стилем на Европейском зимнем молодежном олимпийском фестивале.
"Расстояние по автодороге до районного центра Шексны — 32,5 км, до центра муниципального образования Нестерово — 2,5 км.","Расстояние по автодороге до районного центра Шексны — тридцать две целых пять десятых км, до центра муниципального образования Нестерово — две целых пять десятых км."
